run,subrun,event,vx,vy
5235,9,496,172.3147430419922,48.96176528930664
5214,31,1581,25.248085021972656,-31.94548797607422
5215,49,2457,182.93222045898438,57.211002349853516
5185,14,723,56.46980285644531,95.99040222167969
5332,130,6529,242.97642517089844,31.297325134277344
5153,80,4032,202.954345703125,58.23710632324219
5511,11,597,41.46846008300781,47.49928665161133
5705,197,9869,69.44273376464844,-33.06741714477539
5328,30,1515,53.47483825683594,-61.12363052368164
5767,150,7543,205.23995971679688,67.11986541748047
5581,10,512,135.8967742919922,40.14581298828125
5418,59,2972,76.91838836669922,75.95565032958984
5266,6,350,209.03622436523438,76.52452850341797
5459,69,3452,232.6368408203125,37.59560012817383
5771,36,1846,72.07621002197266,0.10256212949752808
5187,182,9135,48.326393127441406,-57.149658203125
5762,151,7558,162.6000213623047,-3.4137279987335205
5508,81,4056,182.99557495117188,-59.351318359375
5328,20,1019,73.05911254882812,-2.053497791290283
5693,9,454,66.65734100341797,8.088224411010742
5332,115,5795,231.6715087890625,-12.067049026489258
5508,90,4517,187.41513061523438,59.502105712890625
5155,74,3741,81.1571273803711,22.579137802124023
5512,4,213,55.21862030029297,48.48642349243164
5758,32,1609,55.83598327636719,-44.51171875
5925,57,2896,89.55158233642578,-72.89177703857422
5332,88,4446,102.455078125,-84.50669860839844
5606,74,3708,216.45591735839844,6.200031280517578
5326,35,1768,93.13172149658203,69.20519256591797
5588,102,5139,40.80169677734375,29.61376190185547
5938,83,4196,135.33834838867188,-10.91397762298584
5506,3,163,150.54061889648438,-44.152496337890625
5724,31,1572,34.74138641357422,10.989847183227539
5161,8,447,156.05799865722656,-9.99560546875
5513,0,31,178.8798065185547,81.38668060302734
5906,74,3710,51.853302001953125,49.23008728027344
